Frame,VehicleID,Class,Confidence,Xmin,Ymin,Xmax,Ymax,Lane
21,165,train,0.48,287,104,318,148,
21,166,car,0.40,182,22,199,37,
21,167,person,0.36,31,224,38,242,
21,168,person,0.32,62,191,68,207,
21,169,train,0.26,300,156,341,219,
22,170,car,0.79,0,239,92,333,
22,171,car,0.71,169,63,193,87,
22,172,car,0.61,182,112,215,156,
22,173,car,0.59,142,40,162,60,
22,174,car,0.47,181,23,198,38,
22,175,train,0.41,287,104,319,149,
22,176,train,0.34,300,157,342,220,
22,177,person,0.33,62,191,68,207,
22,178,bus,0.30,300,157,344,220,
22,179,car,0.26,287,105,317,149,
23,180,car,0.79,0,247,86,345,
23,181,car,0.65,168,65,193,89,
23,182,car,0.60,142,40,163,60,
23,183,car,0.57,182,24,198,39,
23,184,car,0.52,180,116,215,161,
23,185,train,0.44,287,103,319,150,
23,186,bus,0.43,180,116,215,161,
23,187,bus,0.39,300,158,343,222,
23,188,person,0.39,62,191,68,207,
23,189,car,0.28,201,9,214,21,
24,190,car,0.82,0,255,79,353,
24,191,car,0.72,179,120,213,166,
24,192,car,0.68,168,67,193,92,
24,193,car,0.62,142,40,163,60,
24,194,car,0.60,182,25,198,40,
24,195,train,0.54,287,103,319,151,
24,196,person,0.39,62,191,68,207,
24,197,train,0.35,300,159,342,222,
24,198,bus,0.33,300,158,343,222,
24,199,person,0.31,30,224,38,242,
25,200,car,0.82,0,264,72,356,
25,201,car,0.74,166,69,192,94,
25,202,car,0.65,142,40,163,60,
25,203,train,0.60,288,103,319,151,
25,204,car,0.59,181,25,199,41,
25,205,car,0.54,177,121,214,169,
25,206,person,0.35,62,191,68,207,
25,207,bus,0.35,300,159,343,223,
25,208,person,0.31,30,224,38,243,
25,209,train,0.30,300,159,342,223,
26,210,car,0.79,0,273,66,356,
26,211,car,0.70,165,71,191,95,
26,212,car,0.67,175,132,211,174,
26,213,car,0.67,181,27,198,41,
26,214,car,0.64,142,40,163,60,
26,215,train,0.55,287,103,318,152,
26,216,bus,0.42,300,159,343,224,
27,217,car,0.79,0,282,59,356,
27,218,car,0.77,164,71,191,99,
27,219,car,0.73,181,27,199,43,
27,220,car,0.61,142,40,163,60,
27,221,train,0.56,287,103,319,153,
27,222,car,0.43,173,128,210,177,
27,223,train,0.43,300,160,343,225,
27,224,person,0.31,62,191,68,207,
27,225,bus,0.28,300,160,344,225,
28,226,car,0.80,0,292,51,357,
28,227,car,0.67,181,28,199,43,
28,228,car,0.59,142,40,163,60,
28,229,car,0.58,163,72,191,100,
28,230,car,0.55,169,144,209,183,
28,231,train,0.55,287,104,318,153,
28,232,bus,0.36,300,160,344,226,
28,233,train,0.34,300,160,344,225,
28,234,person,0.33,62,191,68,207,
29,235,car,0.73,0,303,43,356,
29,236,train,0.61,300,161,344,226,
29,237,train,0.60,288,105,319,154,
29,238,car,0.60,142,40,163,60,
29,239,car,0.59,182,30,199,44,
29,240,car,0.59,162,74,190,103,
29,241,car,0.37,168,135,207,188,
29,242,person,0.31,62,192,68,208,
29,243,truck,0.30,168,138,207,187,
29,244,car,0.27,288,110,319,153,
30,245,train,0.62,287,106,319,155,
30,246,car,0.61,160,77,189,105,
30,247,car,0.61,142,40,163,60,
30,248,train,0.60,300,161,344,227,
30,249,car,0.56,182,31,199,45,
30,250,car,0.50,166,137,206,192,
30,251,car,0.35,202,12,215,24,
30,252,person,0.31,62,192,68,208,
30,253,car,0.28,288,111,319,154,
30,254,car,0.26,0,314,35,357,
30,255,bus,0.26,300,161,344,228,
31,256,train,0.65,287,106,319,155,
31,257,car,0.65,182,31,199,47,
31,258,car,0.64,142,40,163,61,
31,259,train,0.56,300,162,344,229,
31,260,car,0.55,160,80,189,107,
31,261,car,0.48,164,156,203,198,
31,262,car,0.32,202,12,215,24,
31,263,person,0.30,62,192,68,208,
31,264,car,0.30,0,327,24,356,
31,265,car,0.27,178,141,211,170,
31,266,bus,0.26,300,162,344,229,
32,267,train,0.71,288,106,319,156,
32,268,car,0.67,181,31,199,47,
32,269,train,0.63,300,162,344,230,
32,270,car,0.62,142,40,163,61,
32,271,car,0.54,162,154,201,202,
32,272,car,0.47,159,84,186,110,
32,273,person,0.35,62,192,68,208,
32,274,car,0.30,201,13,216,25,
32,275,person,0.29,30,224,38,243,
33,276,car,0.74,181,32,199,48,
33,277,train,0.70,288,106,319,156,
33,278,car,0.64,142,40,163,60,
33,279,car,0.56,157,83,187,112,
33,280,train,0.55,300,163,344,231,
33,281,person,0.35,62,191,68,208,
33,282,car,0.32,201,14,216,25,
33,283,car,0.31,158,148,203,209,
33,284,person,0.29,30,224,38,243,
34,285,train,0.67,288,109,319,157,
34,286,car,0.67,181,33,199,49,
34,287,car,0.64,142,40,163,60,
34,288,car,0.52,156,85,184,115,
34,289,car,0.40,155,157,199,214,
34,290,train,0.37,299,164,343,232,
34,291,car,0.35,202,14,216,26,
34,292,person,0.27,30,224,38,243,
35,293,car,0.74,180,35,199,51,
35,294,car,0.67,142,40,163,61,
35,295,train,0.66,288,110,320,157,
35,296,car,0.54,154,87,183,119,
35,297,car,0.45,202,15,216,27,
35,298,train,0.41,300,165,343,234,
35,299,car,0.35,153,160,198,220,
35,300,person,0.28,30,224,38,243,
35,301,person,0.27,62,192,69,208,
36,302,car,0.71,180,35,199,51,
36,303,car,0.69,153,88,183,121,
36,304,car,0.69,142,40,163,61,
36,305,train,0.64,288,112,320,158,
36,306,car,0.43,203,15,216,27,
36,307,train,0.39,300,166,344,234,
36,308,car,0.30,150,161,198,226,
36,309,person,0.29,62,192,69,208,
36,310,person,0.26,30,224,38,243,
37,311,car,0.73,180,36,199,53,
37,312,car,0.72,141,40,163,61,
37,313,car,0.62,152,94,181,124,
37,314,car,0.59,146,175,192,234,Left Lane
